Good morning.,Bonjour.
Good afternoon.,Bonsoir.
Good evening.,Bonne nuit.
"Hello, my name is John.","Salut, Je m'appelle John."
What is your name?,Comment vous appelez-vouz?
How are you?,Ça va?
I am fine.,Je vais bien.s
Nice to meet you.,Enchanté
Goodbye.,Au revoir.
See you later.,A la prochaine.
Where is the restroom?,Où se trouve la salle de bain?
Where is the hotel?,Où se trouve l'hotel?
Where is the restaurant?,Où se trouve le restaurant?
Where is the airport?,Où se trouve l'aéroport?
Where is the American embassy?,Où se trouve l'ambassade américaine?
Excuse me.,Excuse-moi.
Please.,S'il vous plait. (plural formal) OR S'il te plait.
Thank you.,Merci.
I'm sorry.,Je suis désolé.
Bless you.,á vos souhaits.
You are welcome (it was nothing).,De rien.
How much does it cost?,Combien ça coûte?
How many are there?,Qu'y a-t-il?
There are many. ,Il y a beaucoup le.
Will you buy this?,Achèterez-vous ceci?
What time is it?,Quelle heure est-il?
How do you say maybe in French?,Comment dit-on maybe en français?
Yes.,Oui.
No.,Non.
I do not understand.,Je ne comprends pas.
"Would you speak slower, please.","Plus lentement, s'il vous plait."
Who?,Qui?
Why?,Pourquoi?
