Where is the restroom?,¿Dónde está el baño?
Where is the hotel?,¿Dónde está el hotel?
Where is the restaurant?,¿Dónde está la restaurante?
Where is the airport?,¿Dónde está el aeréopuerto?
Where is the American embassy?,¿Dónde está la embajada americana?
Excuse me.,Con permiso.
Please.,Por favor.
Thank you.,Gracías.
I'm sorry.,Lo siento.
Bless you.,Salud.
You are welcome.,De nada.
How much does it cost?,¿Cuánto cuesta?
How many are there?,¿Cuántos hay?
There are many.,Hay muchos.
Will you buy this?,¿Quiere comprarlo usted?
What time is it?,¿Qué hora es?
How do you say maybe in Spanish?,¿Cómo se dice maybe en Español?
Yes.,Sí.
No.,No.
I do not understand.,Yo no comprendo.
"Would you speak slower, please.","Por favor, habla mas despacio."
Who?,¿Quièn?
Why?,¿Por què?
